unlocode,name,municipality,iso_country,lat,lon
AEABU,Abu al Bukhoosh,Abu al Bukhoosh,AE,25.48333,53.13333
AEAJM,Ajman,Ajman,AE,25.3936557,55.4451432
AEAJP,Al Jeer Port,Al Jeer Port,AE,26.03333,56.05
AEAMF,Musaffah,Musaffah,AE,24.38333,54.48333
AEAMU,Abu Musa,Abu Musa,AE,25.86667,55.01667
AEARP,Ahmed Bin Rashid Port,Ahmed Bin Rashid Port,AE,25.53333,55.55
AEAUH,Abu Dhabi,Abu Dhabi,AE,24.46667,54.36667
AEDAS,Das Island,Das Island,AE,25.141931,52.8775403
AEDBP,Dibba,Dibba,AE,25.61667,56.26667
AEDUJ,The Palm Jumeirah,The Palm Jumeirah,AE,25.117222,55.134444
AEDXB,Dubai,Dubai,AE,25.25,55.26667
AEEND,Esnnad,Esnnad,AE,24.31667,54.45
AEFAT,Fateh Terminal,Fateh Terminal,AE,25.5833,54.4167
AEFJR,Al Fujayrah,Al Fujayrah,AE,25.11667,56.33333
AEFRP,Free Port,Free Port,AE,25.4728575,55.4946245
AEHSN,Hassyan,Hassyan,AE,24.9,54.9
AEHTL,Hulaylah Terminal,Hulaylah Terminal,AE,25.98333,55.93333
AEHZP,Hamriya Free Zone Port,Hamriya Free Zone Port,AE,25.4728575,55.4946245
AEJAZ,Al Jazeera Port,Al Jazeera Port,AE,25.71667,55.8
AEJEA,Jebel Ali,Jebel Ali,AE,25.0338168,55.1366041
AEJED,Jebel Dhanna,Jebel Dhanna,AE,24.163675,52.597433
AEKHL,Mina Khalifa/Abu Dhabi,Mina Khalifa/Abu Dhabi,AE,24.83333,54.66667
AEKLB,Kalba,Kalba,AE,25.06667,56.35
AEKLF,Khor al Fakkan,Khor al Fakkan,AE,25.33333,56.35
AEMBS,Mubarras Island,Mubarras Island,AE,24.58333,53.31667
AEMKH,Mina Khalid,Mina Khalid,AE,25.35,55.36667
AEMRP,Mina Rashid Port,Mina Rashid Port,AE,25.26667,55.28333
AEMSA,Mina Saqr,Mina Saqr,AE,25.96667,56.06667
AEMUB,Mubarek Terminal,Mubarek Terminal,AE,25.85,55.216667
AEMZD,Mina Zayed/Abu Dhabi,Mina Zayed/Abu Dhabi,AE,24.51667,54.36667
AEPRA,Port Rashid,Port Rashid,AE,25.2709307,55.265831
AEQIW,Umm al Quwain,Umm al Quwain,AE,25.58333,55.58333
AEQWE,Jebel Ali Free Zone,Jebel Ali Free Zone,AE,25,55.05
AERFA,Mirfa,Mirfa,AE,24.0961596,53.487065
AERKP,Rak Khor Port,Rak Khor Port,AE,25.81667,55.95
AERKT,Ras al Khaimah,Ras al Khaimah,AE,25.78333,55.95
AERMC,Rak Maritime City,Rak Maritime City,AE,25.95,56.05
AERUW,Ar Ruways,Ar Ruways,AE,24.11667,52.73333
AERWP,Ruwais Port,Ruwais Port,AE,24.1826892,52.5691482
AESHJ,Sharjah,Sharjah,AE,25.35,55.38333
AESID,Sadiyat Island,Sadiyat Island,AE,24.53333,54.4
AEULR,Umm Al Nar,Umm Al Nar,AE,24.43333,54.5
AEYAS,Yas Island,Yas Island,AE,24.4883715,54.6072307
AEZUR,Zirku Island,Zirku Island,AE,24.88333,53.06667
AFDHD,Dehdadi,Dehdadi,AF,36.65,66.98333
AFQLT,Qalat,Qalat,AF,32.1,66.88333
AFRKH,Torkham,Torkham,AF,34.1371589,71.0820181
AGANU,Antigua,Antigua,AG,17.1037152,-61.7904505
AGBBQ,Barbuda,Barbuda,AG,17.1184569,-61.8448509
AGFAM,Falmouth,Falmouth,AG,17.01667,-61.78333
AGPHM,Parham,Parham,AG,17.08333,-61.75
AGSJO,Saint John's,Saint John's,AG,17.11667,-61.85
AIBLP,Blowing Point,Blowing Point,AI,18.17504,-63.0936881
AIMBB,Meads Bay Beach,Meads Bay Beach,AI,18.16667,-63.13333
AIRBY,Road Bay,Road Bay,AI,18.2,-63.08333
AISOM,Sombrero,Sombrero,AI,18.6,-63.46667
ALBUT,Butrint,Butrint,AL,39.75,20.01667
ALDRZ,Durrës,Durrës,AL,41.313255,19.4462348
ALHMR,Himare,Himare,AL,40.13333,19.71667
ALROM,Romano Port,Romano Port,AL,41.36667,19.41667
ALSAR,Sarandë,Sarandë,AL,39.88333,20
ALSHG,Shëngjin,Shëngjin,AL,41.8,19.56667
ALVOA,Vlorë,Vlorë,AL,40.46667,19.48333
AMJER,Jermuk,Jermuk,AM,39.8388185,45.6712635
AOAZZ,Ambriz,Ambriz,AO,-7.844312,13.106493
AOBAB,Baba,Baba,AO,-14.83333,12.23333
AOBDD,Barra do Dande,Barra do Dande,AO,-8.4714533,13.3686966
AOBDT,Baía dos Tigres,Baía dos Tigres,AO,-16.6,11.73333
AOBUG,Benguela,Benguela,AO,-12.5790048,13.4037117
AOCAB,Cabinda,Cabinda,AO,-5.5576435,12.1919468
AOCPO,Capulo,Capulo,AO,-7.98333,13.16667
AOCUI,Cuio,Cuio,AO,-12.98333,12.98333
AODAL,Dalia,Dalia,AO,-7.68333,11.78333
AODGR,Dombe Grande,Dombe Grande,AO,-12.9426137,13.0937485
AOETN,Essungo Terminal,Essungo Terminal,AO,-6.33333,12.16667
AOFBY,Farta Bay,Farta Bay,AO,-12.61667,13.2
AOFLT,Futila Terminal,Futila Terminal,AO,-5.45,12.18333
AOGIM,Gimboa,Gimboa,AO,-7.53333,12.16667
AOGIR,Girassol Terminal,Girassol Terminal,AO,-7.63333,11.68333
AOGPO,Greater Plutonio,Greater Plutonio,AO,-7.83333,12.11667
AOLAD,Luanda,Luanda,AO,-8.8272699,13.2439512
AOLBT,Lombo Terminal,Lombo Terminal,AO,-6.98333,12.35
AOLOB,Lobito,Lobito,AO,-12.3506867,13.5464318
AOLUC,Lucira,Lucira,AO,-13.8654983,12.5248067
AOMSZ,Namibe,Namibe,AO,-15.195064,12.1458085
AONDD,Sumbe,Sumbe,AO,-11.2019365,13.8396845
AONQI,Nóqui,Nóqui,AO,-5.85,13.43333
AONTO,N'Zeto,N'Zeto,AO,-7.23333,12.86667
AOPAT,Palanca Terminal,Palanca Terminal,AO,-6.95,12.4
AOPBN,Porto Amboim,Porto Amboim,AO,-10.7279102,13.7578988
AOPLE,Tombua,Tombua,AO,-15.81667,11.85
AOPSA,Porto Saco (Portosalazar),Porto Saco (Portosalazar),AO,-15.13333,12.13333
AORSN,River Sao Nicolau,River Sao Nicolau,AO,-14.25,12.33333
AOSTL,Sazaire Terminal,Sazaire Terminal,AO,-6.08333,12.38333
AOSZA,Soyo,Soyo,AO,-6.1387951,12.3690144
AOTAK,Takula Terminal,Takula Terminal,AO,-5.216667,11.783333
AQABA,Aboa,Aboa,AQ,-73.05,-13.41667
AQAPT,Arturo Prat,Arturo Prat,AQ,-62.5,-59.68333
AQARC,Arctowski,Arctowski,AQ,-62.15,-58.46667
AQART,Artigas,Artigas,AQ,-62.18333,-58.9
AQBHN,Bellingshausen,Bellingshausen,AQ,-62.18333,-58.95
